施設名,所在地,緯度,経度,電話番号,URL
長房,東京都八王子市長房町341,35.656121,139.297399,042-663-6487,
元八王子（第1第2クラブ）,東京都八王子市弐分方町761,35.669719,139.292013,042-625-6493,
中野,東京都八王子市中野山王3-6-27,35.674575,139.325307,042-624-9561,
北野（第1第2クラブ）,東京都八王子市打越町348-1,35.645793,139.35629699999998,042-645-8588,
川口（第1第2クラブ）,東京都八王子市川口町3974,35.692682,139.282172,042-654-4758,
由木（第1第2クラブ）,東京都八王子市越野692-1,35.62936699999999,139.384379,042-676-8733,
浅川（第1第2クラブ）,東京都八王子市初沢町1323,35.639243,139.28184,042-665-2539,
由井（第1第2クラブ）,東京都八王子市小比企町1201,35.642337,139.327783,042-635-4762,
横山（第1第2クラブ）,東京都八王子市長房町450,35.652769,139.29801899999998,042-661-1299,
上壱分方（第1第2クラブ）,東京都八王子市上壱分方町799-2,35.684822,139.283955,042-652-1891,
寺町（第1第2クラブ）,東京都八王子市寺町29-15,35.655327,139.332232,042-628-5345,
寺田（第1クラブ）,東京都八王子市寺田町432-102,35.622562,139.306264,042-665-7187,
寺田（第2クラブ）,東京都八王子市寺田町405-5,35.62254799999999,139.309986,042-666-6620,
台町（第1第2クラブ）,東京都八王子市台町4-2-1,35.656985,139.324022,042-627-7246,
秋葉台（第1クラブ）,東京都八王子市別所2-12-4,35.62311300000001,139.401747,042-677-8358,
秋葉台（第2クラブ）,東京都八王子市別所2-5,35.624666,139.406619,042-676-1990,
宮上,東京都八王子市南大沢5-20-11,35.609464,139.367576,042-677-4200,
鹿島,東京都八王子市鹿島2,35.633018,139.426711,042-675-0158,
松が谷,東京都八王子市松が谷13,35.629348,139.41393200000002,042-675-0161,
館ヶ丘,東京都八王子市館町1097-57,35.62827,139.287671,042-665-5239,
別所,東京都八王子市別所2-42-7,35.615738,139.394707,042-677-7755,
南大沢（第1第2クラブ）,東京都八王子市南大沢3-8-1,35.607778,139.379528,042-674-0109,
石川（第1第2クラブ）,東京都八王子市石川町1920,35.671723,139.358624,042-648-3366,
清水小（第1第2クラブ）,東京都八王子市中野山王3-25-1,35.676105,139.31946299999998,042-626-4591,
美山小,東京都八王子市美山町1892,35.690933,139.248317,042-652-0297,
南大沢西,東京都八王子市南大沢4-18,35.60823900000001,139.374464,042-679-4312,
千人町（第1第2クラブ）,東京都八王子市千人町3-7-7,35.658743,139.308348,042-662-5673,
久保山（第1第2クラブ）,東京都八王子市久保山町1-20-6,35.685972,139.360243,042-692-2019,
久保山（第3クラブ）,東京都八王子市久保山町2-18,35.686699,139.354188,042-692-5058,
片倉台,東京都八王子市片倉町1318,35.631311,139.346115,042-637-9220,
まつぎ（第1第2クラブ）,東京都八王子市別所1-29-2,35.621149,139.396106,042-676-7241,
下柚木（第1第2クラブ）,東京都八王子市下柚木3-4-1,35.621235,139.379788,042-677-3553,
長池（第1クラブ）,東京都八王子市別所1-45-3,35.61120800000001,139.386438,042-670-3631,
長池（第2クラブ）,東京都八王子市別所1-55,35.610761,139.388441,042-679-4664,
みなみ野（第1クラブ）,東京都八王子市みなみ野1-9-3,35.632163,139.324836,042-635-0014,
みなみ野（第2クラブ）,東京都八王子市みなみ野1-1-1,35.631322,139.33096899999998,042-635-3321,
第十小（第1第2クラブ）,東京都八王子市大和田町7-5-1,35.666201,139.343628,042-644-8744,
元八王子東小（第1第2クラブ）,東京都八王子市叶谷町1521,35.671283,139.304343,042-627-1245,
加住小,東京都八王子市加住町1-170-2,35.70045800000001,139.316116,042-692-0150,
高嶺小（第1第2クラブ）,東京都八王子市北野台4-21-1,35.62840100000001,139.350737,042-637-4146,
七国小（第1第2クラブ）,東京都八王子市七国6-42-1,35.62005999999999,139.321857,042-637-5441,
八木町（第1第2クラブ）,東京都八王子市八木町7-1,35.661662,139.321919,042-626-5234,
由井かたくら,東京都八王子市西片倉1-14-1,35.636571,139.337257,042-636-7784,
第九小（第1第2クラブ）,東京都八王子市中野上町2-14-1,35.670864,139.325107,042-623-4230,
上柚木小,東京都八王子市上柚木3-15,35.615972,139.36891200000002,042-677-6675,
長沼（第1第2クラブ）,東京都八王子市長沼町707-3,35.642471,139.36546,042-636-2479,
中山小,東京都八王子市中山1155,35.62567,139.35844,042-635-4051,
城山（第1クラブ）,東京都八王子市元八王子町2-3351-15,35.662925,139.277923,042-663-6094,
城山（第2クラブ）,東京都八王子市元八王子町2-1767,35.659114,139.277682,042-664-3988,
恩方西（第1第2クラブ）,東京都八王子市下恩方町1369,35.670201,139.25493,042-651-1154,
小宮小（第1第2クラブ）,東京都八王子市小宮町1128-3,35.68370200000001,139.367681,042-645-3223,
楢原小,東京都八王子市楢原町1287-2,35.67557100000001,139.307395,042-626-1788,
弐分方小（第1第2クラブ）,東京都八王子市弐分方町520-1,35.67175200000001,139.288488,042-626-6760,
高倉小,東京都八王子市高倉町67-2,35.662352,139.365746,042-642-8163,
東浅川小,東京都八王子市東浅川町550-22,35.643412,139.28676399999998,042-662-2929,
由木東小（第1第2クラブ）,東京都八王子市東中野1347,35.63344,139.407941,042-677-5086,
子安（第1クラブ）,東京都八王子市子安町1-37-1,35.651381,139.34502,042-648-5643,
子安（第2クラブ）,東京都八王子市子安町2-19-1,35.65015,139.342623,042-644-9939,
椚田小（第1第2クラブ）,東京都八王子市椚田町571-2,35.636654,139.30226000000002,042-666-9649,
椚田小（第3クラブ）,東京都八王子市椚田町554-11,35.636915,139.306318,042-664-2512,
みなみ野君田小（第1第2クラブ）,東京都八王子市みなみ野4-3-1,35.627836,139.325109,042-635-4343,
由木西小,東京都八王子市上柚木538-1,35.623137,139.361401,042-679-0901,
上川口小,東京都八王子市上川町1099,35.705542,139.250072,042-654-0045,
横川（第1第2クラブ）,東京都八王子市横川町296-11,35.668419,139.30674,042-622-6200,
からまつ,東京都八王子市川口町1557-2,35.686642,139.29788200000002,042-654-3908,
第四小（第1第2クラブ）,東京都八王子市明神町2-15-1,35.657994,139.345998,042-646-9990,
山田小（第1第2クラブ）,東京都八王子市山田町1553,35.6468,139.313606,042-662-8281,
散田小（第1第2クラブ）,東京都八王子市散田町5-23-1,35.647766,139.301574,042-668-4004,
恩方東,東京都八王子市下恩方町754-1,35.679692,139.263216,042-651-8079,
あたご,東京都八王子市上柚木3-5-10,35.616149,139.372361,042-677-6427,
鑓水小（第1クラブ）,東京都八王子市鑓水2-74,35.612686,139.363626,042-677-7688,
鑓水小（第2クラブ）,東京都八王子市鑓水2-73,35.614713,139.36470400000002,042-674-5921,
つくみ（第1第2クラブ）,東京都八王子市犬目町44-1,35.688142,139.30654199999998,042-621-1020,
つくみ（第3クラブ）,東京都八王子市楢原町980-33,35.68254,139.311897,042-621-1020,
船田小（第1第2クラブ）,東京都八王子市長房町1041-2,35.656976,139.288597,042-663-6829,
大和田小（第1第2クラブ）,東京都八王子市大和田町4-19-1,35.665591,139.354319,042-645-0526,
第一小,東京都八王子市元横山町2-5-1,35.661693,139.339123,042-646-1141,
横山第一小（第1第2クラブ）,東京都八王子市館町74,35.633921,139.304541,042-663-9687,
芝保育園,東京都港区芝五丁目18番1-101号,35.6484,139.747716,03-3455-4669,
神明保育園,東京都港区浜松町一丁目6番7号,35.658802,139.757421,03-5733-6822,
芝公園保育園,東京都港区芝公園二丁目7番3号,35.654291,139.75053300000002,03-3438-0435,
アスク芝公園保育園,東京都港区芝二丁目12番16号,35.651603,139.752593,03-5439-9398,
太陽の子三田保育園,東京都港区三田一丁目2番18号　TTD PLAZAビル2階,35.655004,139.740635,03-5439-6390,
グロ-バルキッズ虎ノ門保育園,東京都港区虎ノ門三丁目19番13号　虎ノ門スピリットビル3階,35.663090999999994,139.74683000000002,03-6453-9325,
あい保育園赤羽橋,東京都港区三田一丁目3番31号　Forecast三田 2階,35.654526000000004,139.74357,03-5473-7668,
南麻布保育園,東京都港区南麻布四丁目2番29-101号,35.647872,139.72406999999998,03-3442-8068,
本村保育園,東京都港区南麻布丁目四丁目6番7号,35.651113,139.727587,03-3444-2385,
西麻布保育園,東京都港区西麻布二丁目13番3号,35.660833000000004,139.722718,03-3409-4924,
麻布保育園,東京都港区六本木五丁目16番46号,35.660657,139.73509099999998,03-5545-7135,
飯倉保育園,東京都港区東麻布一丁目21番2号,35.655912,139.74353200000002,03-3583-1786,
まなびの森保育園麻布,東京都港区南麻布一丁目8番11号　東町小学校内,35.650887,139.73583200000002,03-3455-3066,
あい保育園南麻布,東京都港区南麻布二丁目11番10号　OJビル3階,35.647686,139.735729,03-6453-7970,
太陽の子南麻布保育園,東京都港区南麻布四丁目11番30号　南麻布渋谷ビル　2階,35.646992,139.727149,03-5488-8070,
あい保育園元麻布,東京都港区元麻布三丁目2番19号　MOMON六本木ビル 2階,35.657381,139.727326,03-6447-1871,
まちの保育園六本木,東京都港区六本木一丁目9番10号　アークヒルズ仙石山森タワー,35.663588,139.74181299999998,03-6441-2478,
まちの保育園六本木分園,東京都港区六本木一丁目9番10号　アークヒルズ仙石山森タワー,35.663636,139.74188,03-6450-1726,
赤坂保育園,東京都港区赤坂五丁目5番26-101号,35.671125,139.734061,03-3583-2156,
南青山保育園,東京都港区南青山一丁目3番15号,35.671188,139.725527,03-3401-1650,
青山保育園,東京都港区北青山三丁目4番14-101号,35.668127,139.71402,03-3401-1723,
赤坂ちとせ保育園,東京都港区赤坂四丁目7番15号　陽栄光和ビル1階,35.675503000000006,139.734069,03-6459-1012,
太陽の子赤坂保育園,東京都港区赤坂八丁目12番16号　NOZYAKASAKA1階、2階、3階,35.669165,139.729383,03-6434-9431,
あい保育園青山一丁目,東京都港区南青山一丁目3番1号　パークアクシス青山一丁目タワー2階,35.671673999999996,139.72559099999998,03-6459-2860,
太陽の子南青山保育園,東京都港区南青山四丁目1番6号　セブン南青山1階、2階,35.667301,139.719068,03-5413-5512,
小学館アカデミ-南青山保育園,東京都港区南青山四丁目15番8号　南青山246ビル,35.66495,139.718306,03-5770-1512,
伊皿子坂保育園,東京都港区三田四丁目19番30号,35.640411,139.738726,03-3444-7601,
高輪保育園,東京都港区高輪三丁目18番15号,35.633207,139.735724,03-3449-1641,
白金保育園,東京都港区白金三丁目10番12号,35.644936,139.731076,03-3441-5076,
太陽の子三田五丁目保育園,東京都港区三田五丁目4番3号　三田プラザビル3階,35.647706,139.738902,03-5439-6775,
みなと保育園,東京都港区高輪一丁目6番9号,35.642365999999996,139.73533500000002,03-3443-3406,
愛星保育園,東京都港区高輪一丁目27番40号,35.636759999999995,139.731967,03-3441-5410,
ゆらりん高輪保育園,東京都港区高輪一丁目5番38号　HUG高輪1階、2階,35.641758,139.736717,03-5422-6170,
高輪夢保育園,東京都港区高輪三丁目25番33号　長田ビル3階,35.631944,139.737918,03-5791-9680,
ゆらりん白金保育園,東京都港区白金一丁目26番10号　白金K-FLAT 1階、2階の一部,35.643907,139.733517,03-6409-6310,
みつばち保育園,東京都港区白金四丁目7番2号,35.642807,139.727554,03-3444-8767,
ニチイキッズ白金台保育園,東京都港区白金台二丁目26番10号　グリーンオーク高輪台　2階,35.631759,139.729917,03-5791-2161,
しばうら保育園,東京都港区芝浦三丁目1番16号,35.645136,139.750214,03-5232-1130,
こうなん保育園,東京都港区港南四丁目2番3-101号,35.629827,139.747918,03-3450-3800,
台場保育園,東京都港区台場一丁目5番1号,35.630085,139.77706799999999,03-5781-0255,
たかはま保育園,東京都港区港南四丁目3番7号,35.631151,139.74997199999999,03-5500-2360,
太陽の子シ-バンス保育園,東京都港区芝浦一丁目2番2号　シーバンスアモール3階,35.649696,139.756524,03-5439-4014,
太陽の子芝浦一丁目保育園,東京都港区芝浦一丁目9番7号　芝浦おもだかビル2階、3階,35.648178,139.75354099999998,03-5439-5251,
アンジェリカ田町保育園,東京都港区芝浦一丁目6番41号　グローバルフロントタワー1階,35.647586,139.75497,03-6435-2157,
にじのいるか保育園芝浦,東京都港区芝浦二丁目3番31号　高取ビル 2階,35.644138,139.75454299999998,03-6435-3804,
太陽の子芝浦二丁目保育園,東京都港区芝浦二丁目17番9号　大友ビル1階,35.644917,139.752268,03-5418-7767,
太陽の子芝浦三丁目保育園,東京都港区芝浦三丁目20番2号　山楽ビル2階3階,35.642236,139.746501,03-5439-6206,
アスク芝浦4丁目保育園,東京都港区芝浦四丁目12番28号,35.639594,139.749084,03-6435-2855,
ゆらりん港南保育園,東京都港区港南一丁目6番27号　SSJ品川ビル2F,35.62962,139.745437,03-6712-1188,
グロ-バルキッズ港南保育園,東京都港区港南四丁目1番8号　リバージュ品川2階,35.629616999999996,139.746672,03-3450-6130,
ベネッセ港南保育園,東京都港区港南四丁目6番7号,35.627761,139.75072600000001,03-5783-5871,
芝浦アイランドこども園,東京都港区芝浦四丁目20番1号,35.640426,139.752365,03-5443-7337,
こいくえん赤坂,東京都港区赤坂四丁目14番14号,35.6734406,139.7313922,03-6277-8555,
港南あおぞら保育園,東京都港区港南三丁目8番1号　森永乳業港南ビル1階,35.6320239,139.75008359999998,03-6712-1988,
芝五丁目保育室,東京都港区芝五丁目36番4号（2015年11月1日開設）,35.644993,139.745252,03-6435-2088,
浜松町二丁目保育室,東京都港区浜松町二丁目3番20号,35.654962,139.755449,03-6435-9507,
愛宕保育室,東京都港区愛宕一丁目7番5号,35.66452,139.749401,03-3433-2671,
南麻布三丁目保育室,東京都港区南麻布三丁目5番15号,35.651044,139.730423,03-3443-5711,
東麻布保育室,東京都港区東麻布二丁目1番1号,35.658203,139.742559,03-3584-3811,
青南保育室,東京都港区南青山四丁目19番18号,35.663959999999996,139.716584,03-5770-3933,
第二青南保育室,東京都港区南青山四丁目19番5号,35.664202,139.71678799999998,03-5770-5366,
桂坂保育室,東京都港区高輪三丁目19番36号,35.633431,139.73720500000002,03-5475-6646,
志田町保育室,東京都港区白金一丁目11番16号,35.645795,139.73367,03-6277-2582,
たまち保育室,東京都港区芝浦三丁目4番1号　グランパークプラザ棟,35.643735,139.745528,03-5484-6088,
芝浦橋保育室,東京都港区芝浦四丁目6番8号　田町ファーストビル2階,35.638959,139.74483,03-6865-1004,
港南四丁目保育室,東京都港区港南四丁目2番4号,35.630213,139.747604,03-5796-8863,
みなと保育サポート白金,東京都港区白金三丁目10番12号,35.644894,139.731074,03-5423-4909,
みなと保育サポート港南四丁目,東京都港区港南 四丁目2番4号都営住宅1F ,35.630196000000005,139.747592,03-5796-8861,
みなと保育サポート東麻布,東京都港区東麻布二丁目1番1号4階,35.65821,139.742614,03-5544-8461,
子育てひろば あっぴぃ西麻布,東京都港区西麻布二丁目13番3号西麻布いきいきプラザ3階,35.660764,139.722809,03-5467-7175,
子育てひろば あっぴぃ港南四丁目,東京都港区港南四丁目2番4号（都営住宅内）,35.630213,139.747604,03-5796-8862,
子育てひろば　あっぴぃ麻布,東京都港区六本木五丁目12番24号港区立麻布図書館1階,35.657508,139.73581000000001,03-5114-9900,
子育てひろば あっぴぃ新橋,東京都新橋六丁目4番2号きらきらプラザ新橋3階,35.662317,139.754025,03-5425-7525,
子育てひろば　あい・ぽーと,東京都港区南青山二丁目25番1号,35.669903000000005,139.718451,03-5786-3250,
みなと子育て応援プラザPokke,東京都港区芝五丁目18番1-102号,35.648185999999995,139.74774,03-6435-0411,
子育てひろば　あっぴぃ台場,東京都港区台場一丁目7番1号メディアージュ4F,35.628336,139.77438,03-5520-9061,
子育てひろば　あっぴぃ港南,東京都港区港南二丁目3番13号品川フロントビルキッズ館3階,35.629186,139.74322,03-6712-0688,
子ども家庭支援センター（みなとキッズサポートセンター）,東京都港区三田一丁目4番10号,35.654293,139.74255300000002,03-6400-0090,
子育てひろば　あっぴぃ芝浦,東京都港区芝浦三丁目1番16号,35.645216,139.750407,03-5730-3252,
ナオミ保育園分園 りんごの木,野毛1-25-2,35.60451628478153,139.6419951180151,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033410.html
奥沢西保育園,奥沢8-4-14,35.602982230821205,139.65799719716338,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00126128.html
尾山台保育園,尾山台1-1-6,35.59684028758967,139.65497907768543,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00012869.html
ナオミ保育園分園 ぶどうの木,奥沢6-19-1,35.60324483629808,139.66523149731614,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00025982.html
おひさま保育園,尾山台3-33-2,35.60634834667093,139.6551670285973,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011807.html
YMCAチャイルドケアセンター,奥沢5-41-7,35.60590112786307,139.66640495438872,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011808.html
コンビプラザ等々力保育園,等々力2-32-16,35.60807345470583,139.6480829769468,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011877.html
グリーンヒル奥沢保育園分園グリーンバレー等々力保育園,等々力2-33-14,35.60776000991533,139.6480019106433,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00125110.html
ベビールーム等々力,等々力１－１９－９,35.60335785856632,139.64771969082895,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00131244.html
奥沢保育園,奥沢2-3-11,35.60524534472857,139.67568779467317,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011750.html
南奥沢保育園,奥沢1-2-13,35.59944510266593,139.68014113866636,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011749.html
グリーンヒル奥沢保育園,奥沢1-48-13,35.60388215870129,139.67830824882384,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00031241.html
マミーズエンジェル奥沢保育園,奥沢3-44-2,35.603445622529094,139.6746405980515,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011876.html
小梅保育園,喜多見2-10-41,35.62416968428444,139.59506525107244,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011772.html
宇奈根なごやか園,宇奈根2-7-16,35.621084274497946,139.60097642531255,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00012864.html
喜多見こどもの家,喜多見3-14-6,35.62431507391247,139.5993873800111,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011887.html
喜多見バオバブ保育園,喜多見1-4-7,35.62231039217169,139.59835968999766,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00036836.html
喜多見野の花保育園,喜多見3-21-22,35.62723760627165,139.5998031449612,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00133747.html
青い空保育園,岡本2-5-11,35.620264304160784,139.62060133634654,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011776.html
砧南らる保育園,鎌田3-13-20,35.621964661381604,139.6132721845663,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011886.html
パパルキッズルーム,玉川3-43-1,35.61496263287609,139.62186538801132,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011881.html
岡本こもれび保育園,岡本3-20-10,35.62746633993255,139.61497123106562,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00131887.html
世田谷おとぎの森保育園,岡本2-22-11,35.62217300078786,139.61858420269363,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00134581.html
たまがわみんなの家,玉川3-39-22,35.617779622053476,139.62068618280216,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00133752.html
玉川保育園,玉川4-16-6,35.61777090515316,139.6240474713343,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00136798.html
用賀保育園分園,用賀2-28-20,35.62465344910536,139.63726731972946,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00031752.html
用賀なのはな保育園,用賀1-2-2,35.6233101229611,139.64271474941154,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011766.html
さくらの木保育園,玉川台2-18-18,35.62489672447083,139.6305115809638,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033357.html
身延山保育園,瀬田4-12-4,35.61937334381341,139.62595694559192,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011761.html
身延山保育園分園 さくら青空保育園,瀬田2-17-1,35.61862282309983,139.63383871728794,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011763.html
わかな保育園,瀬田1-7-7,35.61473109441963,139.63128323457335,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011764.html
グローバルキッズ上野毛園,上野毛1-26-6,35.612292030206525,139.63855165432017,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00033096.html
ナーサリールームベリーベアー用賀,用賀2-27-1,35.62461344306283,139.63833188889245,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00017424.html
ピノキオ幼児舎上野毛園,上野毛1-9-14,35.61082922148769,139.6393598742213,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011878.html
ポピンズナーサリースクール二子玉川,玉川3-17-1,35.614148745677554,139.62673131578916,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011880.html
用賀プチ・クレイシュ,用賀4-3-11,35.627262855132365,139.6345753939173,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011879.html
山口小児科内科病児保育室シェ・モア,中町4-35-6,35.61686908555153,139.64064280197948,, 
グローバルキッズ用賀園,瀬田4-28-12,35.621974811526215,139.62912190055852,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00038986.html
はじまり はじまりえんniko,玉川1-15-6,35.60987236484164,139.63224173286523,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00030031.html
ニコこどもクリニック病児保育室ニコのおうち,玉川1-15-6,35.60991723100384,139.6321202034206,, 
玉川赤ちゃんの家保育園,玉川3-27-1,35.614133489658634,139.62431403345175,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011805.html
用賀保育園,用賀2-29-22,35.62565556541785,139.6367472034956,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011757.html
中町保育園,中町3-27-2,35.61544051232749,139.64258384877743,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00137426.html
グリーンフィールド上野毛保育園,上野毛1-9-7,35.61030323502058,139.63928476111514,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138961.html
小学館アカデミーふたこたまがわ保育園,玉川３－３４－２,35.61588749534506,139.6236975926105,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00124615.html
わらべうた桜新町第2保育園,桜新町１－３２－１,35.627417718658826,139.64461265866336,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00139782.html
新町保育園,駒沢4-3-1,35.62681101992617,139.65358439749323,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00139354.html
深沢保育園,深沢5-16-17,35.6204575512517,139.65058287919902,,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00139750.html
等々力保育園,等々力5-22-22,35.609073352779866,139.65839330043065,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011752.html
等々力保育園分園 このは,等々力6-4-2,35.61028490776313,139.66203816350742,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00029714.html
用賀なのはな保育園深沢分園,新町1-3-31,35.62675242707242,139.65255811732496,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011767.html
いずみ保育園,深沢1-14-23,35.61765198342619,139.6607760434683,,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033355.html
にじいろ保育園,等々力4-19-18,35.61055869937276,139.65244488027494,,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011806.html
ナオミ保育園病後児保育室バンビ,等々力4-13-10,35.60908791218116,139.6532247013404,, 
わらべうた等々力保育園,等々力3-27-15,35.61024205340113,139.6507179295421,,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00038992.html
