都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
132217,,東京都,清瀬市,清瀬市立第１保育園,キヨセシリツダイイチホイクエン,認定公立保育所,東京都清瀬市松山3-1-73,,35.76854,139.513793,,,042-491-0152,,,,清瀬市,1955/6/1,98,0歳から,月火水木金土,7:00,19:00,,有,,
132217,,東京都,清瀬市,清瀬市立第３保育園,キヨセシリツダイサンホイクエン,認定公立保育所,東京都清瀬市旭が丘3-755-1,,35.798149,139.539049,,,042-492-5600,,,,清瀬市,1967/10/1,98,0歳から,月火水木金土,7:00,19:00,,有,,
132217,,東京都,清瀬市,清瀬市立第７保育園,キヨセシリツダイナナホイクエン,認定公立保育所,東京都清瀬市竹丘1-15-11,,35.76747739,139.5114895,,,042-492-4616,,,,清瀬市,1972/8/1,67,1歳から,月火水木金土,7:00,19:00,,有,,
132217,,東京都,清瀬市,清瀬市立乳児保育園,キヨセシリツニュウジホイクエン,認定公立保育所,東京都清瀬市梅園2-9-38,,35.7723,139.505231,,,042-492-5603,,,,清瀬市,1964/6/1,34,0歳から,月火水木金土,7:00,19:00,,有,,
132217,,東京都,清瀬市,駅前乳児保育園,エキマエニュウジホイクエン,認定公立保育所,東京都清瀬市元町1-4-17,,35.774459,139.520659,,,042-492-4185,,,,社会福祉法人千曲会,1997/4/1,31,0歳から,月火水木金土,7:00,19:00,,有,,
132217,,東京都,清瀬市,清瀬上宮保育園,キヨセジョウグウホイクエン,認定私立保育所,東京都清瀬市竹丘3-8-1,,35.766485,139.502184,,,042-492-4015,,,,社会福祉法人上宮会,1971/4/1,120,0歳から,月火水木金土,7:00,19:00,,有,,
132217,,東京都,清瀬市,のしお保育園,ノシオホイクエン,認定私立保育所,東京都清瀬市野塩5-249,,35.775625,139.498258,,,042-493-4550,,,,社会福祉法人のゆり会,1981/4/1,80,0歳から,月火水木金土,7:00,20:00,,無,,
132217,,東京都,清瀬市,中清戸保育園,ナカキヨトホイクエン,認定私立保育所,東京都清瀬市下清戸1-21-3,,35.7789537,139.5357242,,,042-494-1772,,,,社会福祉法人千曲会,1981/10/1,80,0歳から,月火水木金土,7:00,19:00,,有,,
132217,,東京都,清瀬市,すみれ保育園,スミレホイクエン,認定私立保育所,東京都清瀬市中里3-1731-8,,35.779377,139.516684,,,042-493-0509,,,,社会福祉法人清朗会,2002/4/1,120,0歳から,月火水木金土,7:00,19:00,,無,,
132217,,東京都,清瀬市,すみれ保育園分園,スミレホイクエンブンエン,認定私立保育所,東京都清瀬市松山2-2-15,清瀬シティハイム,35.76980066,139.5161346,,,042-495-4145,,,,社会福祉法人清朗会,2010/4/1,26,0歳から,月火水木金土,7:00,19:00,,無,,
132217,,東京都,清瀬市,きよせ保育園,キヨセホイクエン,認定私立保育所,東京都清瀬市上清戸2-5-40,,35.779072,139.520273,,,042-491-1301,,,,社会福祉法人清澄,2005/4/1,161,0歳から,月火水木金土,7:00,19:30,,無,,
132217,,東京都,清瀬市,きよせ保育園分園,キヨセホイクエンブンエン,認定私立保育所,東京都清瀬市上清戸2-6-6,,35.78044708,139.5217755,,,042-497-3047,,,,社会福祉法人清澄,2015/4/1,23,0歳から,月火水木金土,7:00,19:30,,無,,
132217,,東京都,清瀬市,せせらぎ保育園,セセラギホイクエン,認定私立保育所,東京都清瀬市中里1-1704,,35.78171,139.515078,,,042-497-9777,,,,社会福祉法人清朗会,2014/4/1,120,0歳から,月火水木金土,7:00,19:00,,無,,
132217,,東京都,清瀬市,"清瀬どろんこ
保育園",キヨセドロンコホイクエン,認定私立保育所,東京都清瀬市松山3-1-24,,35.770975,139.510062,,,042-494-8166,,,,社会福祉法人どろんこ会,2014/4/1,90,0歳から,月火水木金土,7:00,20:00,,無,,
132217,,東京都,清瀬市,"のしお一丁目
保育園",ノシオイッチョウメホイクエン,認定私立保育所,東京都清瀬市野塩1-322-1,,35.77911577,139.4999206,,,042-492-1411,,,,社会福祉法人のゆり会,2015/4/1,80,0歳から,月火水木金土,7:00,19:00,,有,,
132217,,東京都,清瀬市,"メリーポピンズ
清瀬ルーム",メリーポピンズキヨセルーム,認定私立保育所,東京都清瀬市松山1-40-2,,35.76883172,139.5171004,,,042-497-1692,,,,社会福祉法人どろんこ会,2015/10/1,39,0歳から,月火水木金土,7:00,20:00,,無,,
132217,,東京都,清瀬市,"中里どろんこ
保育園",ナカザトドロンコホイクエン,認定私立保育所,東京都清瀬市中里6-25-1,,35.770975,139.510062,,,042-497-8718,,,,社会福祉法人どろんこ会,2018/4/1,100,0歳から,月火水木金土,7:00,20:00,,有,,
132217,,東京都,清瀬市,"認定こども園
ひかり",ニンテイコドモエンヒカリ,認定こども園（幼稚園型）,東京都清瀬市旭が丘2-5-3,,35.7956185,139.5400653,,,042-491-2218,,,,学校法人聖光学園,2015/12/1,30,3歳から,月火水木金,7:30,18:30,,無,,
132217,,東京都,清瀬市,ピッコロルーム,ピッコロルーム,認定私立保育所,東京都清瀬市元町2-18-10,,35.77591503,139.5126367,,,042-497-1234,,,,特定非営利法人子育てネットワーク・ピッコロ,2016/10/1,11,0歳から,月火水木金,7:30,19:30,,有,,
132217,,東京都,清瀬市,"ゆりかごファースト
スクール",ユリカゴファーストスクール,認定私立保育所,東京都清瀬市元町1-8-35,アマルフィー2Ｆ,35.7729873,139.5198868,,,042-496-0330,,,,学校法人内野学園,2017/4/1,18,1歳から,月火水木金,8:00,17:00,,無,,
132217,,東京都,清瀬市,ちゃいるど保育園,チャイルドホイクエン,認定私立保育所,東京都清瀬市上清戸2-5-36,,35.7795198,139.5198005,,,042-496-7788,,,,学校法人清瀬学園,2017/8/1,18,1歳から,月火水木金,8:00,17:00,,無,,
132217,,東京都,清瀬市,"あいあい
ちびっこルーム",アイアイチビッコルーム,認定私立保育所,東京都清瀬市竹丘3-2-61,,35.769071,139.5037031,,,042-497-2308,,,,NPO法人ウイズアイ,2017/10/1,12,0歳から,月火水木金,7:30,19:30,,無,,
132217,,東京都,清瀬市,なかよし保育園,ナカヨシホイクエン,認定私立保育所,東京都清瀬市竹丘3-1-1,東京病院内,35.76791273,139.5062184,,,042-491-3114,,,,社会福祉法人上宮会,2018/4/1,9,0歳から,月火水木金,7:30,19:00,,無,,
